time,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
01.01.2023 12:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 13:15,2944.402062957191,3725.940882137187,3516.924686309978,3217.031883601376,3689.590239384628,3444.223400804863,3535.1000076862565,4334.814148242532,3871.343453147419,5007.301039164852
01.01.2023 13:30,4381.502354127297,5544.493719728987,5233.461145207605,4787.197016546496,5490.401098073095,5125.2759018958195,5260.507456035552,6450.545132465188,5760.8642063525585,7451.258633099201
01.01.2023 13:45,5790.187307054585,7327.088876211049,6916.057061204087,6326.315761411493,7255.605082296796,6773.08947337558,6951.798958161216,8524.442424274808,7613.024051868067,9846.892611688507
01.01.2023 14:00,7020.169103897203,8883.547322832881,8385.20198521055,7670.184761665463,8796.87856846378,8211.864476472347,8428.5363623951,10335.248958515327,9230.222340309265,11938.6209143437
01.01.2023 14:15,5525.599537797509,6992.271020052409,6600.021670147024,6037.229124630613,6924.053741807991,6463.5871136582,6634.130309269232,8134.910430646337,7265.140133030059,9396.930078167987
01.01.2023 14:30,4203.223169451895,5318.893516899004,5020.5165635119865,4592.4104999567,5267.001872831696,4916.733275377373,5046.46238554564,6188.0785550264045,5526.4600931682335,7148.073970271585
01.01.2023 14:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 15:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 15:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 15:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379187e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266323e-05
