time-stamp,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
2023-01-26 12:45:00,18005.22087684496,22784.38444292109,21506.23604734259,19672.37095803431,22562.097765429186,21061.662692358765,21617.379386088545,26507.68629091064,23673.531152888747,30619.989824511027
2023-01-26 13:00:00,21283.574347258756,26932.91815548176,25422.04713700352,23254.27567570864,26670.15797835511,24896.52678275021,25553.42722556684,31334.15112235317,27983.95886398837,36195.214399196215
2023-01-26 13:15:00,19309.610707889817,24435.00120442848,23064.25723442395,21097.537625287023,24196.61094877552,22587.476723118038,23183.45236225043,28428.03798661557,25388.56222704032,32838.25771619534
2023-01-26 13:30:00,17367.901340102922,21977.8998439574,20744.993267345155,18976.040353075416,21763.481308894403,20316.15619721916,20852.20253487665,25569.41030626264,22835.5739842094,29536.15320492812
2023-01-26 13:45:00,15469.108842355814,19575.106868413222,18476.99111725833,16901.433735166538,19384.130216038466,18095.037812508806,18572.479443445714,22773.965795690507,20339.01347791228,26307.03386462362
2023-01-26 14:00:00,13624.519517923864,17240.90432823699,16273.73164640906,14886.049102916815,17072.700383571264,15937.32375707761,16357.833618741925,20058.32040138791,17913.7201068999,23170.09337770385
2023-01-26 14:15:00,10565.11498309145,13369.435626751523,12619.442896470342,11543.366370414731,13239.002108441757,12358.575859850802,12684.659655625228,15554.19705844019,13891.169699990607,17967.21714717095
2023-01-26 14:30:00,7977.014808911977,10094.370591524415,9528.101021755972,8715.627291218641,9995.88892721686,9331.137693140863,9577.34185390975,11743.938468675966,10488.297248754638,13565.849258365735
2023-01-26 14:45:00,5836.438471753703,7385.616584626601,6971.301507928035,6376.8494413605285,7313.561788679025,6827.191916032883,7007.328905901823,8592.53441674851,7673.835768416908,9925.548141778676
2023-01-26 15:00:00,4109.867693847075,5200.758501473151,4909.008634317341,4490.410998832916,5150.019394141706,4807.530419654449,4934.378187983062,6050.63854927486,5403.714930798933,6989.312034906599
