time;p_grid_feedin
03.01.2023 06:00;1010196.6879500281
03.01.2023 06:15;1011166.260693854
03.01.2023 06:30;1011424.6044114812
03.01.2023 06:45;1012615.5665285217
03.01.2023 07:00;1013280.3321932227
03.01.2023 07:15;1013600.4363696352
03.01.2023 07:30;1013770.4744313145
03.01.2023 07:45;1014647.1577370464
03.01.2023 08:00;1015118.3244650068
03.01.2023 08:15;1015596.1168968808
03.01.2023 08:30;0.0
03.01.2023 08:45;0.0
03.01.2023 09:00;0.0
03.01.2023 09:15;0.0
03.01.2023 09:30;0.0
03.01.2023 09:45;1016701.8681708445
03.01.2023 10:00;0.0
03.01.2023 10:15;0.0
03.01.2023 10:30;0.0
03.01.2023 10:45;0.0
03.01.2023 11:00;0.0
03.01.2023 11:15;0.0
03.01.2023 11:30;0.0
03.01.2023 11:45;0.0
03.01.2023 12:00;0.0
03.01.2023 12:15;0.0
03.01.2023 12:30;0.0
03.01.2023 12:45;0.0
03.01.2023 13:00;0.0
03.01.2023 13:15;0.0
03.01.2023 13:30;0.0
03.01.2023 13:45;0.0
03.01.2023 14:00;0.0
03.01.2023 14:15;0.0
03.01.2023 14:30;0.0
03.01.2023 14:45;0.0
03.01.2023 15:00;1011683.8008561516
03.01.2023 15:15;0.0
03.01.2023 15:30;1010281.6152539802
03.01.2023 15:45;1010246.5715468401
03.01.2023 16:00;1009919.3271543125
03.01.2023 16:15;1009672.106445844
03.01.2023 16:30;1009656.5034046897
03.01.2023 16:45;1009907.3115283321
03.01.2023 17:00;1010258.1451670564
03.01.2023 17:15;1010337.5393372199
03.01.2023 17:30;1010296.1355345461
03.01.2023 17:45;0.0
03.01.2023 18:00;0.0
03.01.2023 18:15;0.0
03.01.2023 18:30;0.0
03.01.2023 18:45;0.0
03.01.2023 19:00;0.0
03.01.2023 19:15;0.0
03.01.2023 19:30;0.0
03.01.2023 19:45;0.0
03.01.2023 20:00;0.0
03.01.2023 20:15;0.0
03.01.2023 20:30;0.0
03.01.2023 20:45;0.0
03.01.2023 21:00;0.0
03.01.2023 21:15;0.0
03.01.2023 21:30;0.0
03.01.2023 21:45;0.0
03.01.2023 22:00;0.0
03.01.2023 22:15;1005190.5548993015
03.01.2023 22:30;1005046.1031130485
03.01.2023 22:45;1004913.8895376679
03.01.2023 23:00;1004940.669893479
03.01.2023 23:15;1005405.625423766
03.01.2023 23:30;1005464.8679204932
03.01.2023 23:45;1005527.678756858
