Electric Power (kW),Source Temperature (K),Thermal Power (kW)
3168.2503446974183,316.19415062765256,6102.814451850049
4687.281457366084,314.38096274125235,9601.294376723881
1514.3460963198143,315.45510344181525,2215.452892470387
2936.440558571669,317.81091548293773,5718.754367705446
4911.293876696921,319.33164676770446,11139.325081610225
2073.760015817152,316.82183918640504,3567.5871761448216
615.0636562882108,313.3716565425868,490.57627754994724
5196.8936931389535,319.35572911567516,11978.867390810094
683.0686494414595,318.0988614852006,638.5969070283797
4683.406902972928,321.7733205839778,10987.405469985346
681.4417983555576,313.2989580032308,584.3775834821314
2244.6297895053476,316.1874327354422,3927.2968596738633
5215.5361337149525,313.6428123296374,10865.168499874724
3309.0489819446143,313.4597333009181,6139.121083751411
5647.545866295126,317.6262928981022,12878.375659356228
2745.8926494117027,322.2524807248976,5719.918545613819
5227.32495687831,317.51400887007946,11664.527841483838
4642.040400075664,320.68491278566535,10636.8646701545
5681.28836565423,319.61281148323087,13459.013122492615
1527.0188169570808,317.64896102717796,2333.0794888283694
1615.1504234914983,314.4576848244528,2396.5920196907928
4441.20640853722,322.9974182719799,10525.803598092201
1362.7305984273603,322.36721770349527,2146.7366574671455
599.4885429337915,315.7386414040408,488.9235276894833
5094.533682555974,317.7509138355292,11336.718197987546
3437.0285787831904,316.3897380781437,6767.682976434299
3264.280550347199,318.17336000181785,6561.710320896759
4187.3638682224855,313.62230550094336,8222.626406185229
201.1759332620813,314.6641669362103,70.98762275144551
3758.7680879460477,315.1383543207782,7386.501043837761
4745.659465240637,315.2753659645672,9906.50180158361
5025.685003087802,322.4457974182886,12183.27227755702
3966.9870801548855,315.07287487631504,7884.148662592809
3021.904302921216,320.9764065041382,6289.828771337106
1710.9225126900994,322.1466484716696,3005.259216366803
2232.2222737923566,318.2301545667549,4044.9183335804123
1432.9837588334558,314.1269389475557,1991.5512688531956
241.2813450056548,318.00789172565726,103.38055234996922
123.39271582788957,322.851006150136,35.97375584097122
4042.9788037430963,318.92509846061955,8651.657117351899
1968.918852188436,318.2371339621064,3407.003150820511
4830.9145858212105,322.49223397150274,11593.833667257873
4194.0980434547655,315.3501075827822,8488.718733135072
2262.3795661986437,314.2276018332852,3835.237114674589
613.9313541484013,315.00947747387227,502.98220523164355
5576.012475965326,315.4798522731554,12200.410462028973
2036.478903902664,321.57181660040743,3803.467043627777
5643.421099491921,322.7870603426674,14198.54597862409
232.72664953675505,314.9052041855604,91.83456854011344
5054.588335109741,314.695184772268,10629.571784362943
338.08540032168776,313.8223135537744,173.54063903537352
3971.2886505545434,319.1456576820367,8497.293423237646
4563.889934646427,316.51678211820075,9636.22853712408
3336.667934130332,319.13825129055834,6862.38380974628
1782.6521377822098,313.62643161143154,2727.8550705317953
4560.682883488183,319.0043832364038,10075.070792430124
3767.222199327629,320.1739402454546,8119.268496644225
5602.925823742142,319.602700906872,13229.309360782148
3491.635331765519,321.593901874323,7603.552376463277
3728.5549671178937,316.1579114921857,7446.240065446028
875.3336852538238,315.114652659706,920.6294196103489
216.60712751850218,320.5952654766122,89.91938143456683
45.61527273332966,321.5528504929035,7.372995865636912
5290.736612390582,319.4158715546272,12268.512475223595
3155.011269597191,316.1623518103553,6067.97702165326
5712.805917142524,322.3110671120494,14275.592661592866
605.3065547367254,316.33460418148866,502.43426447960184
3640.2080928323285,315.6567842145265,7166.820194607889
758.3885873854676,315.514059757503,728.5193834249063
1882.3285807842558,317.217888172022,3139.5415947379174
5486.253646040886,319.3021902849262,12815.404789550372
1021.6546065844136,323.1479536971079,1380.6466479680028
3472.188012795333,317.7396458941413,7021.433843135587
1624.1496893274184,313.20198422470986,2365.0194259630193
2042.70346489143,314.06224432123537,3329.0514507889047
3144.684510637826,320.59670906123205,6559.189522834086
2457.1201889265803,316.1754817105984,4425.146706628574
1974.9169283264744,317.2796393584549,3362.1902141679384
4121.327167398524,318.2653514610869,8752.41947037108
3340.793462206807,314.57084431451915,6330.839695532411
2196.895168262044,315.13013433064566,3745.028593838765
1380.434874835294,316.6438686760515,1965.8711766412346
1820.8499631843,322.2343673209404,3292.9992355585678
2973.0156839903616,321.94437261348804,6281.196676763807
2859.5770046057432,322.0922783334797,6000.782321418679
5779.727380601751,320.64504052858234,14013.885088936835
3734.656654283221,315.8899269013054,7425.836196361904
4410.198338731313,314.0683800970504,8841.195996146304
2633.09535361653,322.41315564702495,5439.946304894706
5795.302557849224,318.93360131750603,13610.87742810054
3489.249586756601,316.8201306637217,6947.048336449329
5277.848552072121,321.3790703232526,12698.846210325182
4976.477560259789,321.7363877876467,11863.609525539843
5010.203170074909,321.2242267183306,11847.454633806088
347.82656843592696,316.8593385367015,192.40770721542114
2038.6884973228905,318.92953946476393,3621.8074488354905
2403.688047399686,313.4008993149089,4097.443776681421
2373.9743818704833,315.1397478677757,4153.436793506285
3064.0006196468175,315.422017992365,5776.545577310629
387.5390129561076,315.42227471185265,226.85521355404518
2523.2976457932996,316.7035645552774,4623.9902693383665
2768.6415574551465,316.99657121573733,5233.789988667714
1005.0210644666529,315.8695222046216,1171.7853631572755
4486.654484070389,315.6852425409251,9292.373484098986
1877.9424686639538,314.9246498369906,3004.4655833701686
2192.973827583985,321.74648703394104,4222.373477173437
3679.2838631528666,320.19745198163355,7891.0259445109805
2340.633741977147,315.80761283459697,4124.681849917174
5425.758698616588,318.2692656159129,12398.107812489414
1303.6865168303889,318.87723697041633,1874.4487463039989
4244.866605292034,322.6453003227394,9875.554281373741
1072.5731081338486,316.3934020669841,1314.55888660066
4710.622577748525,314.0800917799088,9612.293197433875
587.2517315509449,316.8558665467717,481.26231081532956
733.8344026430568,322.31227478360336,782.0844091022843
5047.69596599656,313.57229978089174,10408.383106577976
1947.599500135808,322.49273433546426,3640.2398141950016
1500.067675746005,321.5815453869984,2446.5419690257604
3312.7861909727553,314.9924163434102,6311.847868018886
3458.4193725337927,313.2153022995054,6453.488754940768
5703.341524557127,319.686405742665,13541.361953075857
5610.652944620445,319.0551532426695,13116.294706069306
4728.894085368694,321.77445226111513,11123.636691534062
1611.7794062606113,317.0607908387422,2501.513409601674
4940.071057633692,320.70381455479185,11519.342483647753
3673.455288650162,317.5213078914891,7492.945914860215
4645.582330652385,318.5196909669695,10221.042067025039
773.9842522128084,320.4131757995603,824.9205783647311
3526.27931727649,320.000913217797,7463.22499147652
1444.2056027842114,322.15305162437255,2336.209002254046
1704.2096546934229,322.1527877871434,2988.4921355753354
4756.241434573084,318.3925669369894,10507.104177084097
3232.3768680962867,322.6063443159455,7057.201727222987
3080.155840936227,318.4113730747489,6135.624488690087
2003.463836974318,316.8682402738267,3404.5939914751666
855.0794009048522,321.68257576783174,999.6346885960738
2214.881684833387,318.0228354335505,3987.527770294744
2972.9519522238993,313.4579304445747,5378.831200178629
5064.85314400489,322.81938063010443,12396.823387617691
3076.0508314753524,321.25445580488474,6464.490601444518
1117.101858397975,314.50695341041614,1357.805341211935
4654.9079306189515,316.2557085167054,9834.75699037062
4571.4129760107935,320.5168048954379,10398.389525904304
2002.8195390808226,320.8768430057002,3666.884543294959
2025.5173767156598,314.2123089377127,3298.922540591873
5874.426735407264,321.0577520576335,14400.312598227192
5821.1222632863955,314.19425225207533,12570.4013427803
3542.4799046543326,322.3660924780363,7857.920361948081
3009.293944798872,313.7429181956953,5487.227002908198
4340.425052616919,315.36769439442094,8863.293440870248
5447.4111852571,320.43654221104595,12977.909764561686
5351.439087037141,320.5590379197039,12720.337249671285
5372.656767148537,318.4297644022026,12281.720996107942
3109.8893154411967,322.2279344915974,6678.8320987802435
2057.1582113835216,313.6307020016488,3336.8476677119693
2194.731934307663,317.14578409730797,3876.3481796737274
4232.775866777047,317.25743414342287,8883.105469148037
3674.8850293858604,320.1903178143284,7878.39723955778
4668.315136717335,321.32870181015085,10847.720779108993
1762.238652212029,319.2471998924224,2966.3466440772086
